id	lingala	partOfSpeech	english	new_category
a	a	pronoun	he	
alimeti	alimeti	noun	match	
ata	ata	adverb	even	
avril	avril	noun	april	
awa	awa	adverb	here	
ba	ba	pronoun	they	
bakisa	bakisa	verb	add	
bale	bale	noun	ball	
bamba	bamba	verb	repair	
bambola	bambola	verb	light	
banda	banda	verb	begin	
bandema	bandema	verb	stick to	
banga	banga	verb	be afraid	
bango	bango	pronoun	them	
bansantu	bansantu	noun	saints	
pron	baoyo	pronoun	those (people)	
barza	barza	noun	veranda	
batiri	batiri	noun	battery	
batisimu	batisimu	noun	baptism	
bato	bato	pronoun	everybody	
baye	baye	adjective	/pron. these	
beba	beba	verb	curse	
beka	beka	verb	borrow	
belabele	bela/bele	verb	be ill	
benda	benda	verb	pull	
benga	benga	verb	call	
besu	besu	adjective	raw	
bete	bete	verb	swim	
betebeta	bete/beta	verb	beat	
bi-prefix	bi	particle	bi- (noun class prefix, plural of li-)	
bikisa	bikisa	verb	save	
luggage	bilei ya midi	noun	lunch	
biliki	biliki	noun	desert	
bilo	bilo	noun	office	
biloko	biloko	noun	baggage	
luck	biloko	noun	luggage / belongings	
bima	bima	verb	go out	
bina	bina	verb	dance	
bino	bino	pronoun	you	
birika	birika	noun	kettle	
bisika	bisika	adverb	everywhere	
bisikabinso	bisika binso	noun	everywhere	
bisikiti	bisikiti	noun	biscuit	
biso	biso	pronoun	us	
bitabi	bitabi	noun	plantains	
bitumba	bitumba	noun	fight / battle / conflict / war	
bitumba-mpamba	bitumba mpamba	noun	mindless street violence / pointless brawling	
bitumba-zoba	bitumba zoba	noun	stupid street fight / pointless brawl (slang)	
biye	biye	noun	bill	
ble	ble	noun	wheat	
bo	bo	pronoun	you	
bobandu	bobandu	noun	humidity	
bobangi	bobangi	noun	shyness	
boboto	boboto	noun	peace	
boeta	boeta	noun	waterfall	
bokamwi	bokamwi	noun	surprise	
bokei	bokei	noun	departure	
bokenzu	bokenzu	adjective	spicy	
bokeseni	bokeseni	noun	difference	
bokila	bokila	noun	hunting	
bokilo	bokilo	noun	brother-in-law	
bokilomobali	bokilo mobali	noun	father-in-law	
bokolongono	bokolongono	noun	health	
bokono	bokono	noun	disease	
bokumisi	bokumisi	noun	worship	
bolai	bolai	noun	height	
bolamu	bolamu	noun	good luck	
bolangiti	bolangiti	noun	blanket	
bolenge	bolenge	noun	youth	
bolimbisi	bolimbisi	noun	excuse	
boloko	boloko	noun	prison / jail / cell	
bololo	bololo	noun	bitterness	
bolozi	bolozi	noun	pain	
bolumbu	bolumbu	noun	nakedness	
boma	boma	verb	kill	
bomba	bomba	verb	hide	
bombana	bombana	verb	hide oneself	
bondela	bondela	verb	ask for	
bondo	bondo	verb	calm	
bondoki	bondoki	noun	gun	
bondoki	bondoki	noun	gun / rifle / firearm	
bonga	bonga	verb	be suitable	
bongisa	bongisa	verb	arrange	
bongo	bongo	noun	brain	
bongola	bongola	verb	change	
boni	boni	adverb	how	
bopela	bopela	adjective	famous	
bopemi	bopemi	noun	repose	
bopolisi	bopolisi	noun	the police / law enforcement	
boponi	boponi	noun	choice	
bosambelelo	bosambelelo	noun	shrine	
bosana	bosana	verb	forget	
boselu	boselu	adjective	slippery	
boso	boso	noun	front / before (informal short form of liboso)	
bosolo	bosolo	noun	truth	
bosoto	bosoto	adjective	dirty	
bota	bota	verb	give birth	
botali	botali	noun	tourism	
botendi	botendi	noun	sculpture	
botolo	botolo	verb	undress	
tonga	botondi	verb	thanks (noun)	
botte	botte	noun	boot	
boya	boya	verb	refuse	
boyambi	boyambi	noun	faith	
boyebongo	boye/bongo	adverb	thus	
boyebisi	boyebisi	noun	notice	
boyei	boyei	noun	arrival	
boyibi	boyibi	noun	theft	
bozindo	bozindo	adjective	deep	
bozito	bozito	noun	weight	
bozoba	bozoba	noun	ignorance	
buka	buka	verb	break	
